Date,Item,Item desc.,Quantity,Ext. quantity, Price , Purchase amount , Amount ,PO number,Entered date,[ItemInventoryCode],NA Item #,Item Desc.,IBPI Price,Unit Difference,Total Difference,Total Savings 
11/2/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 40.43 , $ 40.43 , $ 40.43 ,6084-0,11/2/2023,Supplies,#N/A,#N/A,#N/A,,,
1/31/2024,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 40.43 , $ 40.43 , $ 40.43 ,7441-0,1/31/2024,Supplies,#N/A,#N/A,#N/A,,,
1/29/2024,1232393,Printhead Cartridge (M1PH),1,1, $ 596.00 , $ 596.00 , $ 596.00 ,7390-0,1/29/2024,Parts,#N/A,#N/A,#N/A,,,
4/11/2023,1232483,Service Station,1,1," $ 1,121.40 "," $ 1,121.40 "," $ 1,121.40 ",2974-0,4/11/2023,Parts,#N/A,#N/A,#N/A,,,
4/11/2023,1232636 ,Service Station Tray And Wick,1,1, $ 47.60 , $ 47.60 , $ 47.60 ,2974-0,4/11/2023,Parts,#N/A,#N/A,#N/A,,,
11/20/2023,126K36432,FUSING UNIT110,1,1, $ 308.00 , $ 308.00 , $ 308.00 ,6397-0,11/20/2023,Parts,#N/A,#N/A,#N/A,,,
4/14/2023,126K36842,FUSING UNIT110,1,1, $ 178.61 , $ 178.61 , $ 178.61 ,3151-0,4/14/2023,Parts,#N/A,#N/A,#N/A,,,
4/20/2023,126K36950,FUSINGUNIT,1,1, $ 689.53 , $ 689.53 , $ 689.53 ,3224-0,4/20/2023,Parts,#N/A,#N/A,#N/A,,,
5/24/2023,126K36950,FUSINGUNIT,1,1, $ 689.53 , $ 689.53 , $ 689.53 ,3611-0,5/24/2023,Parts,#N/A,#N/A,#N/A,,,
11/9/2023,126K36950,FUSINGUNIT,1,1," $ 1,091.00 "," $ 1,091.00 "," $ 1,091.00 ",6206-0,11/9/2023,Parts,#N/A,#N/A,#N/A,,,
9/1/2023,126K39440,Fuser Belt Mod,1,1, $ 740.94 , $ 740.94 , $ 740.94 ,5089-0,9/1/2023,Parts,#N/A,#N/A,#N/A,,,
2/12/2024,126K39440,Fuser Belt Mod,1,1, $ 551.73 , $ 551.73 , $ 551.73 ,7662-0,2/12/2024,Parts,#N/A,#N/A,#N/A,,,
3/14/2024,130K78020,SEN ASY ENVI,2,2, $ 6.78 , $ 13.56 , $ 13.56 ,8315-0,3/14/2024,Parts,#N/A,#N/A,#N/A,,,
